No,Name,UEN,Short Intro,Date incorporated,Sector,Funding Stage,Employee range,Tags,Description,Address,Website,Emails,Phone,Team,Funding Stage,Total Funding,Funding Rounds,Rounding Raised
11,36 TECH SOLUTIONS PTE. LTD.,UEN 201318179E,ECM Solutioning provider,5 July 2013,Infotech,Pre-seed,—,—,"36 Tech solutions provide the below services:* ECM Solutioning on 2 platforms - FileNet P8 Suite and Microsoft SharePoint* SI services, specializing in J2EE and ASP .Net* Customized mobile application development on Android* Ad-hoc AIX Support",A'POSH BIZHUB1 YISHUN INDUSTRIAL STREET 1           #04-27         Singapore 768160,36techsolutions.com/home.php, , , ,Pre-seed,—,—, 
12,3D PRINTECH,UEN 53311112M,Exclusive Distributor (Geeetech),19 July 2015,Others,Pre-seed,1 - 10 employees,—,"3D Tech Printing provides printers, filament and 3D design/printing services to the burgeoning maker community.",446 HOUGANG AVENUE 8           #B1-1635         Singapore 530446,3d-printech.com,info@3d-printech.com.sg,+65 66816738, ,Pre-seed,—,—, 
13,3F Asia,UEN 201200270H,Fire fighting solutions provider,3 January 2012,Others,Pre-seed,—,—,"3F is incorporated in 2012. The Company led by highly experienced people who have been a driving force in their own area of expertise within the fire protection industry for the last three decades.The 3F team comprises a dedicated team of people focused on the design and manufacture of the highest quality fire fighting products in both chemical and engineering applications.The 3F business concept is simple and has been developed on three fundamental aspects of extinguishing fire safely. Firstly, supplying a foam chemical product range that is all about ensuring the customer has the most appropriate fire fighting chemical for the risk. Secondly, ensuring an engineering solution to deliver the chemical to the fire in the most cost effective, efficient and safe application.  And finally, doing something very different to other fire fighting chemical manufacturers and that is to supply customers with a clean environmental package that will not only deliver significant reductions but in almost all cases eliminate post fire environmental damage caused by foam use.   ",1002 TOA PAYOH INDUSTRIAL PARK           #03-1447         Singapore 319074,3fff.co.uk,sales@3fffasia.com                sales@3fff.co.uk,+65 63566040, ,Pre-seed,—,—, 
14,3H RESOURCES PTE. LTD.,UEN 201013511G,Electronic Soldering Solutions,28 June 2010,Manufacturing & Engineering,Pre-seed,1 - 10 employees,—,"Electroloy Group is a group of companies that develops, manufactures and supplies soldering solutions to electronic, semi-conductor as well as plating industries. They are  ISO 9001 and 14001 Certified",67 TUAS AVENUE 1           #-         Singapore 639509,electroloy.com,enquiry_sg@electroloy.com                enquiry_suzhou@electroloy.com,+65 64912663, ,Pre-seed,—,—, 
15,3I Medtech Solutions,UEN 201408317C,—,24 March 2014,Medtech,Pre-seed,—,—, ,30 LOYANG WAY           #05-10         Singapore 508769,3i-medtech.com, , , ,Pre-seed,—,—, 
16,3P Power,UEN 201310078H,Total Integrated Engineering Solution,16 April 2013,Precision Engineering,Pre-seed,1 - 10 employees,—,"3P Power Pte Ltd was established in June’ 2013 as a Power Solutions Service Provider Company with subsidiaries in Malaysia and Myanmar, 3P Power (M) Sdn. Bhd. and Ottimo Power Co., Ltd respectively. 3P Power is the affiliation of Regards Engineering Pte Ltd, MPT Solutions Pte Ltd and Regards Engineering Co., Ltd (Myanmar) established in 2011 and founded by the group of Engineers who had well gained the various technical trainings, technical knowledges, managerial knowledges and the various field experiences in different industries while working for the renowned Multi-national Companies.   They provide the TIES (Total Integrated Engineering Solution) for the Mechanical and Electrical Equipment such as Valves, components of Rotating and stationary Machines, Back-up Power Electronic equipment, Gen-set and Control Process of Vertical Market Segments such as OIL/GAS & Petrochemical, Telco & DIT and Power Generation, Transportation & General Industries.",FOCUS ONE1 UBI VIEW           #04-12         Singapore 408555,3ppower.com,enquiry@3ppower.com,"+65 67431006, 66357632", ,Pre-seed,—,—, 
17,3SI TECHNOLOGIES PTE. LTD.,UEN 201511043Z,—,24 April 2015,Infotech,Pre-seed,11 - 50 employees,—, ,889A WOODLANDS DRIVE 50           #06-235         Singapore 731889,3si.com.sg,sales@3Si.com.sg,+65 62975343,"Yugu R,Founder-", , 
18,3W Materials,UEN 201311824N,"manufacturer and supplier of organotin catalysts, silicone surfactants and special polyether",2 May 2013,Manufacturing & Engineering,Pre-seed,—,—,"3W MATERIALS PTE.,LTD is a professional manufacturer and supplier of organotin catalysts, silicone surfactants and special polyether in the global market. It is a multi-divisional company comprising research & development, production, sales and service department, they provide customized solutions and services to customers, apart from supplying them high quality chemical products. Currently, they are supplying products for a wide range of applications, such as polyester resin, silicone resin, silicone rubber, electrophoretic coating, glass coating, polyurethane, synthetic leather, textile, oil and gas, personal care and other fields. ",KEPPEL BAY TOWER1 HARBOURFRONT AVENUE           #13-03         Singapore 098632,materialsen.companycn.net/exhi_detail.aspx?id=14, ,+65 66946700, ,Pre-seed,—,—, 
19,3Waves Energy,UEN 201205978Z,Marine Communication services,9 March 2012,Marine & Offshore,Pre-seed,—,Marine & Offshore,"3Waves Energy Pte Ltd is a Marine Communication Company founded by a group of highly active personnel who has over 20 years each of working experience in the marine and offshore industry.They specialized in integrated solutions for marine communication, navigation, automation and bio energy systems. Based in Singapore, the Company is known for their wide ranging capabilities in designing, supplying, installing, integrating, testing and commissioning integrated solutions for the marine, Military and offshore oil & gas industries, backed up by their excellent Asia Network maintenance and world-wide support services. Satellite airtime services are also offered to complement their communication business.",CITILINK WAREHOUSE COMPLEX102F PASIR PANJANG ROAD           #08-04         Singapore 118530,3wavesenergy.com/en,sales@3wavesenergy.com,+65 62720411, ,Pre-seed,—,—, 
20,4xLabs,UEN 201104120M,Provides cloud-based cash exchange market service,18 February 2011,Fintech,Pre-series A,11 - 50 employees,Fintech,"4xLabs is a fintech start-up headquartered in Singapore. The company develops cloud-based services addressing the needs of all players in the often overlooked cash exchange market.Their one-stop suite of services, Biz4x, improves topline, by helping money changers acquire new business, optimize their price setting, and scale their business; as well as bottomline, by improving efficiency, managing cost of stock, and facilitating compliance risk management. Through Biz4x, money changers can list their business and cash exchange rates on a directory called Get4x to access new customers.With Get4x, travelers can search for licensed money changers offering the best rates nearby for greater transparency, convenience, and security. Their tools improve the entire cash exchange industry by providing greater transparency and regulatory compliance.4xLabs envisions themselves to be the operating system of choice for money changers at every stage of their development to accelerate their business growth.",37A HONGKONG STREET           #-         Singapore 059676,4xlabs.co,hello@4xlabs.co,+65 31593368,"Chris Vanden Berghe,Founder, Chief Executive Officer (CEO)-",Pre-series A,USD 2.5M,2,"16 May 2017,USD 1.5M,Pre-series A,OSK Ventures, Dymon Asia Ventures(2)-1 May 2016,USD 1.0M,Seed,Dymon Asia Ventures(1)"
21,65DOCTOR (PRIVATE) LIMITED,UEN 201014124K,Doctor Appointment Booking platform,4 July 2010,Infotech,Pre-seed,11 - 50 employees,—,"65Doctor is Singapore's online doctor appointment booking platform. Their aim is to connect doctors to patients from all over the region seamlessly online, through a variety of integrated services and fresh technology. ",59 NEW UPPER CHANGI ROAD           #01-1284         Singapore 461059,65doctor.com,enquiry@65doctor.com,+65 64738123,"Kenneth Chang,Founder-",Pre-seed,—,—, 
22,6ESTATES PTE. LTD.,UEN 201413517G,"Market Research, Consumer Insights, and TV Rating Service Provider",9 May 2014,"Infotech, Enterprise Solutions",Pre-seed,11 - 50 employees,Artificial intelligence,"6Estates provides global businesses with real-time insights and predictions of consumer behavior and preferences with a focus on China. The company helps clients to bridge the gap of large volumes of data collection and analysis with AI-based Natural Language Processing, Machine Learning & Knowledge Graph technologies. 6Estates develops state-of-the-art tools that can gather, analyze and predict digital signals about organisations, products, brands, people, location and events, to deliver real-time, deep intelligence to businesses to enable critical and time-sensitive decision-making on marketing, product development, manufacturing and customer service.6Estates aims to provide automated and deep AI solutions for the gathering, analysis, discovery and prediction of digital signals from multiple unstructured data sources so as to enable smarter business decision making for the domains of Market Intelligence and Financial Intelligence with focus on China and South-East Asia markets.",79 AYER RAJAH CRESCENT           #01-05         Singapore 139955,6estates.com,ami@6estates.com, ,"GARY CHIN,Co-founder-Roger Yuen,Co-founder-Luan Huanbo,Co-founder-",Pre-seed,—,—, 
23,776 CONSULTING PTE. LTD.,UEN 201606442N,—,11 March 2016,—,Pre-seed,1 - 10 employees,—, ,WCEGA TOWER21 BUKIT BATOK CRESCENT           #09-79         Singapore 658065, , , , ,Pre-seed,—,—, 
24,88Hub,UEN 53222445X,—,12 September 2012,—,Pre-seed,—,—, ,232 ANG MO KIO AVENUE 3           #07-1214         Singapore 560232,88hub.com, , , ,Pre-seed,—,—, 
25,8PACKS PTE. LTD.,UEN 201403068K,Online Race Management Platform,2 February 2014,—,Pre-seed,1 - 10 employees,—,"8packs is an Online Race Management Platform that makes it easier to organise Running, Cycling and Swimming Events.From Registration to Race Pack Collection, Inventory Management to Race Results and E-Certification, 8packs seamlessly connects all the systems that any race event organiser will ever need in one place.",307 WOODLANDS AVENUE 1           #04-305         Singapore 730307,8packs.com,hello@8packs.com,+65 6567777,"Allan Teng,Co-founder-John Luo,Co-founder-Vivek K,Co-founder-",Pre-seed,—,—, 
26,8villages,UEN 201114945G,Information technology & services provider,23 June 2011,"Infotech, Agritech",Pre-seed,11 - 50 employees,—,"8villages is a mobile platform linking farmers to their communities of peers and their external business partners. - The first online network combining voice, SMS and internet that connects farmers by relevant business communities (""Villages""​).Their technology 8VILLAGES offers robust, cloud-based carrier-grade messaging platform, allowing real-time communication between you and your rural customers.",GUTHRIE HOUSE1 FIFTH AVENUE           #03-08         Singapore 268802,8villages.com,info@8villages.com,+62 218853808, ,Pre-seed,—,—, 
27,8VOLUTION PTE. LTD.,UEN 201607494R,Digital Platforms and Growth Marketing Services.,22 March 2016,Infotech,Pre-seed,1 - 10 employees,Digital MarketingWeb Development,"8VOLUTION PTE. LTD. is a provider of Web, Mobile Application, and SEO or Social Media Marketing.The company acts as a unique digital agency that fuses both Technology and Digital Marketing as one. With creatively designed solutions, they are developed and intended for individual to large enterprise. Using a omni-channel solutions, 8volution offers business to business solutions such as mobile, web and backend development that is cater for various business needs. For digital marketing, it includes video marketing, social media marketing and search engine optimize.",PRIMZ BIZHUB21 WOODLANDS CLOSE           #09-01         Singapore 737854,8volution.com,Concierge@8volution.com,+65 6910 0873, ,Pre-seed,—,—, 
28,9 yards innovation,UEN 201415767M,—,31 May 2014,Others,Pre-seed,1 - 10 employees,Human Resources, ,41 JALAN KELABU ASAP           #-         Singapore 278234,9yardsinnovation.com,sjiva@9yardsinnovation.com,+65 91905920,"Sjiva De Meester,Founder-",Pre-seed,—,—, 
29,90 SECONDS PTE. LTD.,UEN 201433895G,—,12 November 2014,—,Pre-seed,—,—, ,YEE LAN COURT28 BUKIT PASOH ROAD           #-         Singapore 089842, ,tim@90seconds.tv, , ,Pre-seed,—,—, 
30,999 EDNA CONSULTING,UEN 201104412E,—,23 February 2011,—,Pre-seed,—,—, ,HIGHLAND CENTRE22 YIO CHU KANG ROAD           #02-05         Singapore 545535,999edna.com, , , ,Pre-seed,—,—, 
31,@PPSOLUTE PTE. LTD.,UEN 201415546G,—,29 May 2014,Infotech,Pre-seed,—,—, ,SOUTHBANK883 NORTH BRIDGE ROAD           #02-04         Singapore 198785, , , , ,Pre-seed,—,—, 
32,A & Z ELECTRICAL ENTERPRISE,UEN 53169554M,—,12 June 2010,—,Pre-seed,—,—, ,3013 BEDOK INDUSTRIAL PARK E           #01-2088         Singapore 489979, , , , ,Pre-seed,—,—, 
33,A BETTER FLORIST PTE. LTD.,UEN 201436222G,Floral Delivery Service,5 December 2014,Retail,Pre-seed,1 - 10 employees,Lifestyle,"A Better Florist strives to be the best florist delivery service provider in Singapore. The company showcases a wide collection of flowers and other gifts at various price points. The flowers are sourced directly from flower farms in the Cameron Highlands to offer the freshest produce at affordable prices. The company prioritises customer satisfaction and maintains open communication channels for constructive feedback. The company has recently expanded to Hong Kong and Dubai and Abu Dhabi.A Better Florist aims to make the process of giving and receiving flowers simple, affordable, and beautiful. ",11 KENG CHEOW STREET           #01-02         Singapore 059608,abetterflorist.com,Steve@abetterflorist.com,+65 3163 1525, ,Pre-seed,—,—, 
34,A Square Apllications,UEN 201402993H,Mobile app developer and intergrater.,29 January 2014,"Infotech, Others",Pre-seed,—,—,"Square Fresco was founded in early of 201, is a software company who focuses in mobile application development. Their focus is in the design of customized mobile application for different industry sectors. Their experienced developers and designers are passionate about developing beautiful mobile applications that across all the major platforms such as IOS, Android, and Windows Phone 7.",VERTEX33 UBI AVENUE 3           #08-68         Singapore 408868,squarefresco.com,info@squarefresco.com,+65 66357498,"Terrence Tey,Founder-",Pre-seed,—,—, 
35,A TO Z ONLINE SERVICES PTE. LTD.,UEN 201434533C,—,19 November 2014,—,Pre-seed,—,—, ,SYH LOGISTICS BUILDING68 KALLANG PUDDING ROAD           #04-03         Singapore 349327, , , , ,Pre-seed,—,—, 
36,A&B Group,UEN 201428231D,—,23 September 2014,"Infotech, Enterprise Solutions, Manufacturing & Engineering",Pre-seed,11 - 50 employees,Software SolutionHuman ResourcesEnterprise SolutionsManufacturing & Engineering, ,HENDERSON INDUSTRIAL PARK205 HENDERSON ROAD           #02-01         Singapore 159549,anbgroup.com,contact@singaporeadvancetech.com,+65 68372336,"Prabjeet Singh Anand,Chief Executive Officer (CEO)-Surjit Singh,Chief Executive Officer (CEO)-",Pre-seed,—,—, 
37,A1BIZ,UEN 201215503R,Web Design and Professional Services,22 June 2012,Infotech,Pre-seed,—,—,"A1Biz is a software and web solution company. A1biz provides customization of website design & development, software development programming, SEO services and mobile apps development ",INTERNATIONAL PLAZA10 ANSON ROAD           #03-05         Singapore 079903,a1bizssg.com,a1bizssg@a1bizs.com,+65 96850606, ,Pre-seed,—,—, 
38,A2 BioScience,UEN 200822726H,Therapeutics Supplements,5 December 2008,"Pharmaceutical, Healthcare",Pre-seed,—,—,"A2 Bioscience was formed in 2008 in partnership with research pharmacologists and SPRING, an agency of the Singapore government.  Together, the strategy was to develop a library of therapeutic supplements for the consumer (Over-The-Counter) market.  Therapeutics supplements  take known active natural molecules and merge them with modern pharmaceutical technology for better effectiveness. ",WILKIE EDGE8 WILKIE ROAD           #03-01         Singapore 228095,a2bioscience.com,me@mydomain.com, , ,Pre-seed,—,—, 
39,AAGNAA Private Limited,UEN 201325122N,IOT Solution Provider,16 September 2013,Infotech,Pre-seed,11 - 50 employees,—,"Aagnaa focuses on “internet of smart retail things”. Aagnaa is a new generation organization that leverages Internet of Things technology to redefine the future of lifestyle marketing worldwide. While helping consumers on their needs to make their shopping experience pleasant Aagnaa also enable retailers with a great marketing tool that can help stores to increase the sales, and also to improve the productivity of sales assistants inside the store.",CASA MERAH66 TANAH MERAH KECHIL AVENUE           #07-29         Singapore 465532,aagnaa.com,connect@aagnaa.com,+65 81574565,"Ramesh V,Chief Executive Officer (CEO)-",Pre-seed,—,—, 
40,AAIKYA SOFTWARE,UEN 201026533C,—,15 December 2010,—,Pre-seed,—,—, ,128D PUNGGOL FIELD WALK            #17-323         Singapore 824128, , , , ,Pre-seed,—,—, 
41,AB SCIEX PTE. LTD.,UEN 200914174C,Biomedical and Pharmaceutical,3 August 2009,"Biotech, Healthcare",Pre-seed,—,—,"AB SCIEX PTE. LTD. is a company specialising in providing service and support in the capillary electrophoresis and liquid chromatography-mass spectrometry industry, they focus on basic research, drug discovery and development, food and environmental testing, forensics and clinical research.",33 MARSILING IND ESTATE ROAD 3           #04-06         Singapore 739256,sciex.com,suporte@sciex.com                vendas@sciex.com,+65 6586 1110,"Inese Lowenstein,-Andrew Clark,Chief Financial Officer (CFO)-Gordon Logan,Chief Technology Officer (CTO)-",Pre-seed,—,—, 
42,ABACUS GLOBAL TECHNOLOGY PTE. LTD.,UEN 201131758K,Healthcare Robotics Specialist,27 October 2011,"Industrial Electronics, Digital Health, Infocomm Tech",Pre-seed,1 - 10 employees,Robotics,"Abacus Global Technology Pte Ltd is in the business of healthcare robotics including but not limited to service robots and surgical robots. Its products include the Projector Vein Finder, Robotic and Control Technology, Service Robot, and Surgical Robot. The company has also developed a Laboratory Samples delivery Service Robot installed in Khoo Teck Puat Hospital in April 2012. ",55 AYER RAJAH CRESCENT           #05-01         Singapore 139949,abacusgt.com,ivankhoo@abacusgt.com, , ,Pre-seed,—,—, 
43,AbbyCard,UEN 201326388C,Reward & Loyalty service solution provider,30 September 2013,"Retail, Food & Beverage, Travel & Hospitality",Pre-seed,11 - 50 employees,Loyalty Programmes,"Shoppie started operation their first operation in Vietnam. They aim to help store increase sales and traffic by providing them with a reward and loyalty software solution.Their product is AbbyCard which is a mobile application available on both Android and iOS. They have over 120 brands in Vietnam using their service, it helps customer to manage their loyalty memberships in one place without the hassle of cards or long registration time.",THE VERVE23 JALAN RAJAH           #05-06         Singapore 329138,abbycard.com, ,+84 462592111, ,Pre-seed,—,—, 
44,ABEL Network Solutions Pte Ltd,UEN 201200068N,System Integration and Network Solutions provider,1 January 2012,Infotech,Pre-seed,—,—,"Abel Network Solutions Pte Ltd is incorporated in 2012. The Company have years of professional experience in System Integration and Network Solutions from IT Outsourcing, Networking Solutions (LAN / WAN), System Integration, web / email hosting to E-business, Business Accounting and Distribution system and others.Abel Network Solutions Pte Ltd have the business tools and qualified people to meet business IT needs. The Company's team comprises well trained and knowledgeable Professionals, who are committed to deliver the right products with right solutions.",MAXWELL HOUSE20 MAXWELL ROAD           #10-05         Singapore 069113,abel-net.com,abel@abel-net.com,+65 90298860, ,Pre-seed,—,—, 
45,ABERDEEN ALLIANCE GROUP PTE. LTD.,UEN 201511306E,management consulting,28 April 2015,Infocomm Tech,Pre-seed,1 - 10 employees,—,"Assists owners and senior executives by providing practical, cost effective and individualized guidance and solutions to a wide range of business situations. These include strategic planning, operational management, new product marketing, information technology, career counseling, legal support and employee benefits management. Most small businesses are unable, because of limits on human and capital resources, to complete all tasks associated with managing a profitable operation. ",AZ @ PAYA LEBAR140 PAYA LEBAR ROAD           #09-22         Singapore 409015,aagroup.com.sg,enquiries@aagroup.com.sg, , ,Pre-seed,—,—, 
46,ABHRIYA PTE. LTD.,UEN 201332391K,—,2 December 2013,—,Pre-seed,—,—, ,INTERNATIONAL PLAZA10 ANSON ROAD           #10-11         Singapore 079903, ,niranjan@get6degrees.com, , ,Pre-seed,—,—, 
47,ABI-TECH SOLUTION PTE. LTD.,UEN 201538597K,Custom Software Development BIM Service,23 October 2015,Infotech,Pre-seed,11 - 50 employees,Infocomm Tech,"ABI-Tech helps company to transform businesses with innovative ideas and processes. This help businesses in their digital transformation effort which grow business revenue and profitability.ABI-Tech has 18 years of experience in AEC and information technology, ABI-Tech Solution’s team of experts are continuously trained with existing and emerging technologies to deliver innovative solutions. The team implement strategic solution to drive their clients' productivity and profitability.ABI-Tech provide solutions to their client in two area.1. ABI-Tech helps businesses in their digital transformation effort. ABI-Tech acts as trusted advisory to the client, they help to analyse their current business model and then provide transformation proposal with a new business model. ABI-Tech implements the digital transformation project by analysing their business gaps and provide bespoke solutions in the area of IOT,Big Data,Robotic,AR and VR. ABI-Tech has broad knowledge in the mentioned area.2. ABI-Tech has ready-to-use project-based resource planning with Facial recognition mobile application",CHAMPIONS COURT572A WOODLANDS AVENUE 1           #11-806         Singapore 731572,abi-tech.com.sg,info@abi-tech.com.sg,+65 66532412, ,Pre-seed,—,—, 
48,ability factors,UEN 201218742N,Infrastructure Solution provider,30 July 2012,Enterprise Solutions,Pre-seed,1 - 10 employees,—,"Ability Factors help their clients to integrate into the Asian business and technology chains, attracting local investment resources to finance innovative industries and to facilitate the export of innovative products and technologies.",THE CENTRAL8 EU TONG SEN STREET           #14-94         Singapore 059818,abilityfactors.com,info@abilityfactors.com,+65 65249574, ,Pre-seed,—,—, 
49,ABOUTNUMBER PTE. LTD.,UEN 201509548Z,DEVELOPMENT SOFTWARE FOR INTERACTIVE DIGITAL MEdia,9 April 2015,Infotech,Pre-seed,101 - 200 employees,—,"Strike is an email productivity platform, which runs business applications inside emails. Things like finding social information about people, sending tracked emails, snoozing emails, fetching data from CRM, pushing emails to CRM, all of it can be done right inside the Gmail app.",INTERNATIONAL PLAZA10 ANSON ROAD           #26-04         Singapore 079903,angel.co/strike,app@getstrike.co,+65 +91.9972207526, ,Pre-seed,—,—, 
50,Absolute Soft Solutions Pte Ltd,UEN 201100070R,ERP and Software Consulting Service,1 January 2011,Enterprise Solutions,Pre-seed,—,—,"An IT Consultant, Advisor, Project Manager & Trainer with 15+ years experience in IT. Several years of senior level experience in the design, application and implementation of IT/BPO/ERP solutions. Services provided include ERP Consulting services, ERP Management, software consulting services, business process outsourcing as well as management information systems","408 YISHUN AVENUE 6           #09-1258         Singapore 760408Block A, Level 22-04 Suasana Sentral Condominium,  No.2 Jalan Stesen Sentral 5,50470 Kuala LumpurMY",absolutesoft.com.sg,info@absolutesoft.com.sg,+65 93801569, ,Pre-seed,—,—, 
51,ABSOLUTUM SOLEIL PTE. LTD.,UEN 201536085K,Cleantech Company providing climate protection & sustainable solutions,30 September 2015,"Infotech, Cleantech",Pre-seed,1 - 10 employees,—,"Absolutumsoliel is a registered private limited company from 2012 with a focus towards services that can lead to climate protection and sustainable development.  As a member of UNGGIM private sector network, Absolutumsoliel adheres to the Mexico Declaration and other United Nations system  - Agenda 2030.",INTERNATIONAL PLAZA10 ANSON ROAD           #26-04         Singapore 079903,absolutumsoleil.com,contactus@absolutumsoliel.com, , ,Pre-seed,—,—, 
52,Accela,UEN 201414156E,—,16 May 2014,Infotech,Pre-seed,11 - 50 employees,—, ,101C TELOK AYER STREET           #04-00         Singapore 068574,accela.asia,hello@accela.asia,+65 85188522,"Name hidden,Co-founder-Erin Padilla,Co-founder, Chief Executive Officer (CEO)-",Pre-seed,—,—, 
53,ACCELTUS,UEN 201303214H,Information technology & services provider,1 February 2013,Infotech,Pre-seed,11 - 50 employees,—,"Acceltus is a system integrator that specialises in providing consultation and development services to organisations, to help them find the best way to use technology as an enabler to achieve business goals, reduce operational overheads, and increase productivity of your most important resources - You and Your Employee",1003 BUKIT MERAH CENTRAL           #07-36         Singapore 159836,acceltus.com, , ,"Loke Kit Kai,Founder-Edwin Chan,-",Pre-seed,—,—, 
54,acceptbooking.com,UEN 53238335D,Transport Booking Mobile App Solution,1 June 2013,Infotech,Pre-seed,—,—,"AcceptBooking.com is a transport booking mobile app solution that allows your users to book your taxi, limo, dispatch, mover, courier, logistics van, truck and more!",TRIVEX8 BURN ROAD           #15-13         Singapore 369977,acceptbooking.com, , , ,Pre-seed,—,—, 
55,Acceset,UEN 201810050N,Anonymous Platform to Voice Concerns,23 March 2018,"Digital Health, Lifestyle",Pre-seed,1 - 10 employees,Platform,"Acceset is a platform for users to share problems and get support from the community. Acceset manages a blog dedicated to adversity issues as an alternative to therapy, as well as other support circles such as friends and family. Led by a team of dedicated professionals, Accesets works to improve the access to care for users who are in need of support. by building that optimises the process of communication between various groups of strangers on personal and mental health issues. Acceset aims to empower users to accept care and reset their lives. ",EUNOS SPRING128 BEDOK RESERVOIR ROAD           #7-07         Singapore 470128,acceset.com,acceset.sg@gmail.com, , ,Pre-seed,—,—, 
